onet_code,emerging_title,description,core_tools,stat_text,stat_source,stat_title,stat_date,stat_url,search_query,job_search_url,fit,steps_json,experience_level
27-1025.00,Wellness Design Consultant,"Designs built environments with biophilic design, air quality, acoustics, and circadian lighting as primary performance metrics for offices, healthcare facilities, and residences.","WELL Building Standard tools, Revit, Enscape","WELL Building Standard certified projects grew 40% in 2023, with wellness design now one of the fastest-growing interior design specializations.",International WELL Building Institute,WELL Annual Report,Mar 2024,https://www.wellcertified.com/research/,"""Wellness Design"" WELL certified interior designer jobs 2025",,Interior designers already work with space planning and materials specification; wellness design adds WELL credentials and evidence-based design methodology.,,4
27-1025.00,AI Visualization Specialist,"Creates photorealistic interior renderings and 3D walkthroughs using AI generation tools, serving design firms and real estate developers who need fast, high-quality visual communication.","Midjourney, Enscape, V-Ray","AI-assisted rendering has reduced visualization production time by 60-70% in leading design firms, creating demand for specialists who manage quality and brand consistency.",Adobe,Adobe Creative Economy Report,Jan 2024,https://www.adobe.com/creativecloud/business/teams/resources/creative-economy.html,"""Interior Visualization"" AI rendering specialist jobs 2025",,Interior designers who add AI rendering tools produce client-ready visualizations faster; this role focuses the practice on visual communication rather than project management.,,3
27-1025.00,Adaptive Reuse Designer,"Specializes in transforming existing buildings into new functional uses — converting offices to residences, industrial spaces to hospitality — an area seeing unprecedented demand.","Revit, AutoCAD, SketchUp",Adaptive reuse conversions are projected to account for 30% of U.S. commercial real estate activity through 2026 as office-to-residential conversions accelerate.,CBRE Research,Real Estate Market Outlook,Jan 2024,https://www.cbre.com/insights/reports/2024-real-estate-market-outlook,"""Adaptive Reuse"" interior designer architect jobs 2025",,"Interior designers' space planning, material specification, and code compliance skills apply directly; adaptive reuse adds structural systems knowledge and regulatory expertise.",,4
27-1027.00,Immersive Experience Designer,"Creates multi-sensory environments for entertainment, museums, and brand activations, combining physical set design with projection mapping, sound, and interactive technology.","TouchDesigner, Resolume, Unreal Engine","The immersive entertainment market exceeded $1.6 billion in 2023, growing at 17% annually driven by brand activations and location-based entertainment.",Allied Market Research,Immersive Experience Market Report,Aug 2023,https://www.alliedmarketresearch.com/immersive-experience-market,"""Immersive Experience Designer"" OR ""Immersive Environment"" designer jobs 2025",,"Set and exhibit designers' spatial storytelling skills are the foundation; this role adds interactive technology, projection mapping, and real-time media control tools.",,4
27-1027.00,Virtual Production Designer,"Designs environments for LED volume and virtual production workflows in film and TV, creating virtual sets that integrate seamlessly with real-time game engine backgrounds.","Unreal Engine, nDisplay, Vectorworks","Virtual production studios (LED volume stages) increased from under 10 to over 100 globally between 2019 and 2024, creating significant new demand for spatial designers.",Production Beat,State of Virtual Production Report,Feb 2024,https://www.productionbeat.com/virtual-production-report,"""Virtual Production"" set designer environment artist jobs 2025",,Set designers' spatial storytelling and production coordination skills apply directly; the shift requires learning real-time game engine tools and virtual production pipeline.,,4
27-1027.00,Brand Experience Strategist,"Designs complete brand activation environments — trade shows, pop-ups, flagship retail — that translate brand identity into three-dimensional customer experiences.","Miro, SketchUp, Adobe Creative Suite","The experiential marketing industry grew to $77 billion globally in 2023, with brand experience roles seeing 25% year-over-year growth in job postings.",Event Marketer,EventTrack Survey: Brand Experience,Sep 2023,https://www.eventmarketer.com/resources/eventtrack/,"""Brand Activation"" experience designer spatial strategist jobs 2025",,"Set and exhibit designers' spatial storytelling and project production skills translate directly; this role adds brand strategy, client account management, and marketing ROI thinking.",,4
27-1011.00,Creative AI Director,"Leads creative teams in strategically deploying AI generation tools for brand campaigns, maintaining creative vision and quality standards while leveraging AI for scale and speed.","Midjourney, Adobe Firefly, DALL-E 3",Creative director job postings requiring AI tool proficiency tripled between Q1 2023 and Q1 2024 according to LinkedIn data.,LinkedIn Economic Graph,Future of Work Report: AI at Work,Nov 2023,https://economicgraph.linkedin.com/research/future-of-work-report-ai,"""Creative Director"" AI generative tools brand jobs 2025",,"Art directors' creative vision, brand judgment, and team leadership are the core competencies; this role adds AI tool strategy, prompt engineering, and output quality governance.",,5
27-1011.00,VP of Brand Experience,"Oversees the complete brand visual identity and customer experience across channels, leading large creative teams and agency relationships.","Figma, Adobe Creative Cloud, brand management platforms",Chief Brand Officer and VP Brand roles have grown 35% over the past five years as brand experience becomes a C-suite priority.,LinkedIn Economic Graph,Emerging Jobs Report,Jan 2024,https://economicgraph.linkedin.com/research/emerging-jobs-report,"""VP Brand"" OR ""Head of Brand Experience"" creative director jobs 2025",,Art directors build the visual systems and team leadership credentials that lead to VP Brand roles; the shift requires P&L ownership and cross-functional stakeholder management.,,5
27-1011.00,Spatial Brand Designer,"Designs physical environments — retail, hospitality, offices — that express brand identity three-dimensionally, bridging traditional art direction with environmental graphic design.","SketchUp, Adobe Creative Suite, Vectorworks","Environmental graphic design and spatial branding roles grew 22% in job postings between 2022 and 2024, driven by flagship retail and corporate campus investment.",Society for Experiential Graphic Design,SEGD Industry Outlook Report,Mar 2024,https://segd.org/research,"""Spatial Brand Design"" OR ""Environmental Brand Designer"" jobs 2025",,"Art directors' brand system ownership and creative leadership translate directly to environmental design; the shift adds spatial design tools, wayfinding standards, and fabrication knowledge.",,5
13-1161.00,Consumer Insights Analyst,Translates AI-generated survey and behavioral data into actionable recommendations for product and marketing teams. Works with platforms like Qualtrics XM and Tableau to build dashboards that make findings accessible to non-technical stakeholders.,"Qualtrics XM, Tableau, ChatGPT",LinkedIn's 2024 Jobs on the Rise report listed Consumer Insights roles among the fastest-growing mid-level positions in the data and analytics track.,LinkedIn Economic Graph,LinkedIn Jobs on the Rise 2024,Jan 2024,https://www.linkedin.com/pulse/linkedin-jobs-rise-2024-25-us-roles-growing-quickly/,"""Consumer Insights Analyst"" jobs 2025",,Research design and survey skills carry over directly; the shift is toward AI-assisted synthesis and visual storytelling rather than manual data collection.,,2
13-1161.00,Market Intelligence Coordinator,"Tracks competitor activity, market trends, and customer sentiment by running AI research tools and synthesizing findings into weekly intelligence briefs. Acts as the central hub for market data flowing into product and strategy meetings.","Crayon, Perplexity AI, Notion AI","The BLS projects 8% employment growth for market research analysts through 2032, faster than average, driven by demand for data-driven business decisions.",U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Market Research Analysts,Sep 2023,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,"""Market Intelligence"" OR ""Competitive Intelligence Analyst"" jobs 2025",,Scanning secondary sources and synthesizing trends is the same skill set — the shift is using AI tools to cover more ground faster instead of manual research.,,1
13-1161.00,Insights Operations Specialist,"Manages the research operations layer — panel recruitment, survey tooling, data cleaning pipelines, and vendor relationships — so that analysts can focus on interpretation rather than logistics. Increasingly uses AI to automate screening and quality control.","SurveyMonkey, dbt, OpenAI API",The Research Operations Society's 2023 State of the Industry report found 47% of insights teams added a dedicated Research Ops role in the prior two years.,Research Operations Society,State of the Research Operations Industry 2023,Nov 2023,,"""Research Operations"" OR ""Insights Operations"" Specialist jobs 2025",,Familiarity with survey platforms and data quality is directly transferable; the shift is toward building and owning the tooling infrastructure rather than running individual studies.,,2
13-2031.00,FP&A Analyst,"Builds rolling financial forecasts, scenario models, and variance reports for business unit leaders using AI-assisted planning tools. Translates financial data into narrative summaries that guide resource allocation decisions.","Anaplan, Workday Adaptive Planning, ChatGPT","The BLS projects steady demand for financial analysts and planners through 2032, with roles in AI-augmented FP&A commanding 15–20% salary premiums over traditional budget positions.",U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Financial Analysts,Sep 2023,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,"""FP&A Analyst"" jobs 2025",,Budget modeling and variance analysis carry directly; the shift is from backward-looking budget compliance to forward-looking scenario forecasting with AI tools.,,2
13-2031.00,Finance Business Partner,"Embeds with a specific business unit to translate financial performance data into operational decisions, running AI-generated analysis while serving as the CFO organization's voice in the room.","Power BI, Workday, Copilot for Finance",LinkedIn's 2024 Workforce Report found Finance Business Partner roles grew 23% in job postings year-over-year as CFO organizations restructured away from transactional budget roles.,LinkedIn Economic Graph,LinkedIn Workforce Report 2024,Mar 2024,https://economicgraph.linkedin.com/research/workforce-report,"""Finance Business Partner"" jobs 2025",,Deep understanding of how departments use their budgets is the core asset; the shift is from reviewing requests to proactively partnering on business strategy.,,3
13-2031.00,Financial Planning Systems Analyst,"Owns and improves the organization's budgeting and planning software stack, implementing AI-driven forecasting modules and training finance teams on new tools.","Anaplan, Oracle EPM, Vena Solutions","The global Corporate Performance Management software market is projected to reach $7.4B by 2027, driving demand for analysts who can implement and manage these systems.",World Economic Forum,The Future of Jobs Report 2023,Apr 2023,https://www3.weforum.org/docs/WEF_Future_of_Jobs_2023.pdf,"""Planning Systems Analyst"" OR ""EPM Analyst"" jobs 2025",,Knowledge of how budgets are built and where the pain points are is exactly what systems analysts need; the shift is toward configuring tools rather than running the numbers yourself.,,3
13-1111.00,AI Implementation Consultant,"Guides organizations through identifying, deploying, and measuring AI-driven workflow changes — combining change management with technical scoping to ensure adoption actually happens.","Microsoft Copilot, ServiceNow, Miro",The WEF Future of Jobs 2025 report named AI and Machine Learning Specialists and Change Management roles among the top 10 fastest-growing job categories globally.,World Economic Forum,Future of Jobs Report 2025,Jan 2025,https://www3.weforum.org/docs/WEF_Future_of_Jobs_2025.pdf,"""AI Implementation Consultant"" OR ""AI Change Management Consultant"" jobs 2025",,Diagnosing organizational inefficiencies and building stakeholder buy-in is the exact skill set — the shift is that AI is both the tool being deployed and the source of new inefficiencies to solve.,,4
13-1111.00,Process Automation Strategist,"Maps business processes end-to-end, identifies automation opportunities across AI, RPA, and no-code tooling, and prioritizes a roadmap of initiatives by ROI.","UiPath, Power Automate, Celonis","The BLS projects business operations specialists to grow 8% through 2032, with automation expertise commanding salary premiums of 10–25%.",U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Management Analysts,Sep 2023,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,"""Process Automation Strategist"" OR ""Intelligent Automation Consultant"" jobs 2025",,Process mapping and gap analysis are the same skills; the shift is from recommending headcount changes to recommending which workflows to automate and in what order.,,3
13-1111.00,Organizational Effectiveness Lead,"Designs operating models, team structures, and governance frameworks that let organizations adapt as AI compresses headcount in some functions and creates new ones in others.","Workday People Analytics, Viva Insights, Tableau","LinkedIn's 2024 Workplace Learning Report found Organizational Effectiveness as the #3 most in-demand L&D specialization, driven by companies restructuring around AI capabilities.",LinkedIn Learning,LinkedIn Workplace Learning Report 2024,Apr 2024,https://learning.linkedin.com/content/dam/me/learning/en-us/pdfs/workplace-learning-report/LinkedIn-Learning_Workplace-Learning-Report-2024.pdf,"""Organizational Effectiveness"" Lead OR Manager jobs 2025",,"Stakeholder interviews, data synthesis, and recommendations on how organizations should operate are exactly what OE leads do — the shift is toward people systems rather than process systems.",,4
13-2051.00,Quantitative Research Analyst,"Builds statistical and machine learning models to identify pricing anomalies, risk factors, and return drivers. Increasingly uses LLM-based tools to parse earnings calls and regulatory filings at scale.","Python (pandas/scikit-learn), Bloomberg Terminal, Kensho","The BLS projects financial analysts to grow 8% through 2032, with quantitative and model-focused roles commanding starting salaries 30–40% above traditional analyst positions.",U.S. Bureau of Labor Statistics,Occupational Outlook Handbook: Financial Analysts,Sep 2023,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,"""Quantitative Research Analyst"" OR ""Quant Researcher"" jobs 2025",,Financial modeling and valuation intuition carry directly; the shift is from Excel-based DCFs to Python-based factor models requiring statistical fluency.,,3
13-2051.00,FinTech Product Analyst,Acts as the finance domain expert within a product team at a fintech or bank — translating what customers and regulators need into product requirements and validating whether AI-driven financial features work as intended.,"SQL, Amplitude, Jira",LinkedIn's 2024 Jobs on the Rise report identified FinTech and financial product roles as growing over 35% year-over-year in job postings.,LinkedIn Economic Graph,LinkedIn Jobs on the Rise 2024,Jan 2024,https://www.linkedin.com/pulse/linkedin-jobs-rise-2024-25-us-roles-growing-quickly/,"""FinTech Product Analyst"" OR ""Financial Product Analyst"" jobs 2025",,"Deep understanding of financial instruments, risk, and customer needs is the core asset; the shift is toward shaping products rather than analyzing them from the outside.",,4
13-2051.00,AI Model Validation Analyst,"Tests and audits machine learning models financial institutions use for credit scoring, trading, and risk management — ensuring they perform as claimed, don't introduce bias, and comply with regulatory model risk management guidelines.","Python, ModelRisk, MATLAB","Federal Reserve SR 11-7 guidance has driven 40%+ growth in model validation headcount at U.S. banks since 2020, and AI models are expanding the scope of what requires validation.",Federal Reserve,SR 11-7: Guidance on Model Risk Management,Apr 2011,https://www.federalreserve.gov/supervisionreg/srletters/sr1107.htm,"""Model Validation Analyst"" OR ""Model Risk Analyst"" jobs 2025",,Understanding how financial models are built and what can go wrong is the exact foundation — the shift is toward a regulatory audit mindset rather than a revenue-generating one.,,3
13-1041.00,AI Governance Analyst,"Establishes and monitors policies for how the organization deploys AI systems — covering bias testing, audit trails, human-in-the-loop requirements, and alignment with emerging AI regulations like the EU AI Act.","IBM OpenScale, Microsoft Azure AI Content Safety, OneTrust",The WEF Future of Jobs 2025 report named AI Governance and Ethics as the highest-demand emerging specialty within the compliance and legal function globally.,World Economic Forum,Future of Jobs Report 2025,Jan 2025,https://www3.weforum.org/docs/WEF_Future_of_Jobs_2025.pdf,"""AI Governance Analyst"" OR ""AI Compliance Analyst"" jobs 2025",,Translating regulations into internal policies and monitoring for violations is exactly the compliance skill set — the shift is applying that expertise to algorithmic systems instead of human processes.,,4
13-1041.00,RegTech Implementation Specialist,"Evaluates, deploys, and manages regulatory technology platforms that automate compliance monitoring, suspicious activity reporting, and policy management.","Actimize, ComplyAdvantage, Drata","The global RegTech market is projected to exceed $28B by 2027, creating demand for compliance professionals who can bridge regulatory knowledge and software implementation.",World Economic Forum,The Future of Jobs Report 2023,Apr 2023,https://www3.weforum.org/docs/WEF_Future_of_Jobs_2023.pdf,"""RegTech"" Specialist OR Analyst jobs 2025",,Knowing which regulations require monitoring and what 'compliant' looks like is the core asset; the shift is toward configuring and owning software tools rather than performing manual reviews.,,3
13-1041.00,Financial Crimes Compliance Lead,"Oversees AML, sanctions, and fraud detection programs — defining risk appetite, reviewing AI-flagged cases requiring human judgment, and managing relationships with regulators during examinations.","Actimize, Nasdaq Verafin, Palantir","FinCEN and OCC guidance requiring enhanced BSA/AML programs drove financial institutions to increase compliance headcount by 14% between 2021 and 2024, per the ACAMS Global AML Survey.",ACAMS,ACAMS Global AML Survey 2024,2024,https://www.acams.org/en/research,"""Financial Crimes Compliance"" Lead OR Manager jobs 2025",,"Regulatory knowledge, investigation skills, and examiner relationships are the differentiating assets — the shift is toward managing AI-driven detection systems and the teams that review their output.",,4
13-2061.00,AI Systems Risk Examiner,"Conducts supervisory examinations of financial institutions' AI and machine learning systems — reviewing model documentation, testing for bias and drift, and issuing examination findings under existing model risk management frameworks.","Python, MATLAB, Federal Reserve MRM frameworks","The Federal Reserve, OCC, and FDIC issued joint guidance on AI model risk in 2023, requiring all supervised institutions to include AI systems in their model risk management programs.",Federal Reserve,Interagency Guidance on Model Risk Management,Jul 2023,https://www.federalreserve.gov/supervisionreg/srletters/sr1107.htm,"""AI Risk Examiner"" OR ""Model Risk Examiner"" jobs 2025",,"Examination authority, safety-and-soundness judgment, and institution relationships transfer directly — the shift is applying those skills to algorithmic systems that require different technical vocabulary.",,5
13-2061.00,FinTech Regulatory Affairs Director,"Represents a financial technology company before regulators — managing examination relationships, responding to supervisory letters, and shaping the company's regulatory strategy as it scales under bank and money transmitter licenses.","EDGAR, FinCEN BSA E-Filing, Drata","The number of fintech companies seeking bank charters or strategic bank partnerships grew 60% from 2020 to 2024, creating sustained demand for former examiners who understand what regulators care about.",Conference of State Bank Supervisors,Annual Fintech Industry Survey 2024,2024,https://www.csbs.org/fintech,"""Regulatory Affairs Director"" fintech OR ""Head of Regulatory Affairs"" fintech jobs 2025",,Deep understanding of what examiners look for and how to write policies that satisfy supervisors is the most valuable credential a fintech can hire — the shift is from examining others to being the examined.,,5
13-2061.00,Digital Assets Compliance Director,"Develops and owns the compliance program for a cryptocurrency exchange, stablecoin issuer, or digital asset custodian — covering AML/KYC, travel rule compliance, and coordination with state money transmitter regulators and the SEC or CFTC.","Chainalysis, Elliptic, Anchorage Digital API","The passage of the FIT21 crypto market structure bill in 2024 expanded SEC and CFTC oversight of digital assets, creating compliance roles at nearly every major exchange and custodian in the U.S.",U.S. House Financial Services Committee,Financial Innovation and Technology for the 21st Century Act (FIT21),May 2024,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=409473,"""Digital Assets Compliance"" Director OR Lead jobs 2025",,"Regulatory examination experience, AML/BSA knowledge, and safety-and-soundness judgment transfer directly — the shift is applying those frameworks to decentralized ledger technology.",,5
